Field,Description,Translate
ID,Customer's unique identifier,
Year_Birth,Customer's birth year,
Education,Customer's education level,
Marital_Status,Customer's marital status,Tình trạng hôn nhân
Income ,Customer's yearly household income,Thu nhập hộ gia đình hằng năm
Kidhome,Number of children in customer's household,Số trẻ con trong gia đình
Teenhome,Number of teenagers in customer's household,Số thanh thiếu niên trong gia đình
Dt_Customer,Date of customer's enrollment with the company,Ngày KH đăng ký làm việc với Cty
Recency,Number of days since customer's last purchase,Số ngày kể từ lần mua cuối cùng của KH
MntWines,Amount spent on wine in the last 2 years,Số tiền chi cho rựu vang 2 năm qua
MntFruits,Amount spent on fruits in the last 2 years,Số tiền chi cho trái cây 2 năm qua
MntMeatProducts,Amount spent on meat in the last 2 years,Số tiền chi cho thịt trong 2 năm qua
MntFishProducts,Amount spent on fish in the last 2 years,Số tiền chi cho cá trong 2 năm qua
MntSweetProducts,Amount spent on sweets in the last 2 years,Số tiền chi cho đồ ngọt trong 2 năm qua
MntGoldProds,Amount spent on gold in the last 2 years,Số tiền chi cho vàng trong 2 năm qua
NumDealsPurchases,Number of purchases made with a discount,Số lần mua hàng được giảm giá
NumWebPurchases,Number of purchases made through the company's web site,Số lượng mua hàng được thực hiện thông qua trang web của công ty
NumCatalogPurchases,Number of purchases made using a catalogue,Số lần mua hàng được thực hiện bằng danh mục
NumStorePurchases,Number of purchases made directly in stores,Số lần mua hàng trực tiếp tại cửa hàng
NumWebVisitsMonth,Number of visits to company's web site in the last month,Số lượt truy cập vào trang web của công ty trong tháng qua
AcceptedCmp3,"1 if customer accepted the offer in the 3rd campaign, 0 otherwise","1 nếu khách hàng chấp nhận ưu đãi trong chiến dịch thứ 3, 0 nếu ngược lại"
AcceptedCmp4,"1 if customer accepted the offer in the 4th campaign, 0 otherwise","1 nếu khách hàng chấp nhận ưu đãi trong chiến dịch thứ 4, 0 nếu ngược lại"
AcceptedCmp5,"1 if customer accepted the offer in the 5th campaign, 0 otherwise","1 nếu khách hàng chấp nhận ưu đãi trong chiến dịch thứ 5, 0 nếu ngược lại"
AcceptedCmp1,"1 if customer accepted the offer in the 1st campaign, 0 otherwise","1 nếu khách hàng chấp nhận ưu đãi trong chiến dịch đầu tiên, 0 nếu ngược lại"
AcceptedCmp2,"1 if customer accepted the offer in the 2nd campaign, 0 otherwise","1 nếu khách hàng chấp nhận ưu đãi trong chiến dịch thứ 2, 0 nếu ngược lại"
Response,"1 if customer accepted the offer in the last campaign, 0 otherwise","1 nếu khách hàng chấp nhận ưu đãi trong chiến dịch cuối cùng, 0 nếu ngược lại"
Complain,"1 if customer complained in the last 2 years, 0 otherwise","1 nếu khách hàng phàn nàn trong 2 năm qua, 0 nếu ngược lại"
Country,Customer's location,Vị trí của khách hàng
